hardware,model,layer_name,input,kv_cache,latency(ns)
RTX3090,meta-llama/Llama-3.1-8B,attn,8,0,6529
RTX3090,meta-llama/Llama-3.1-8B,o_proj,8,0,47331
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,8,0,22707
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,8,0,147832
RTX3090,meta-llama/Llama-3.1-8B,act_fn,8,0,2673
RTX3090,meta-llama/Llama-3.1-8B,up_proj,8,0,147888
RTX3090,meta-llama/Llama-3.1-8B,down_proj,8,0,144876
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,8,0,22113
RTX3090,meta-llama/Llama-3.1-8B,lm_head,8,0,1223322
RTX3090,meta-llama/Llama-3.1-8B,embedding,9,0,7137
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,9,0,22307
RTX3090,meta-llama/Llama-3.1-8B,q_proj,9,0,46972
RTX3090,meta-llama/Llama-3.1-8B,k_proj,9,0,21849
RTX3090,meta-llama/Llama-3.1-8B,v_proj,9,0,21674
RTX3090,meta-llama/Llama-3.1-8B,rope,9,0,29987
RTX3090,meta-llama/Llama-3.1-8B,attn,9,0,6565
RTX3090,meta-llama/Llama-3.1-8B,o_proj,9,0,47632
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,9,0,23048
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,9,0,147951
RTX3090,meta-llama/Llama-3.1-8B,act_fn,9,0,2732
RTX3090,meta-llama/Llama-3.1-8B,up_proj,9,0,148336
RTX3090,meta-llama/Llama-3.1-8B,down_proj,9,0,144988
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,9,0,22483
RTX3090,meta-llama/Llama-3.1-8B,lm_head,9,0,1225256
RTX3090,meta-llama/Llama-3.1-8B,embedding,10,0,7575
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,10,0,22306
RTX3090,meta-llama/Llama-3.1-8B,q_proj,10,0,46787
RTX3090,meta-llama/Llama-3.1-8B,k_proj,10,0,21909
RTX3090,meta-llama/Llama-3.1-8B,v_proj,10,0,21619
RTX3090,meta-llama/Llama-3.1-8B,rope,10,0,30285
RTX3090,meta-llama/Llama-3.1-8B,attn,10,0,6556
RTX3090,meta-llama/Llama-3.1-8B,o_proj,10,0,47684
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,10,0,23118
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,10,0,148157
RTX3090,meta-llama/Llama-3.1-8B,act_fn,10,0,2790
RTX3090,meta-llama/Llama-3.1-8B,up_proj,10,0,148429
RTX3090,meta-llama/Llama-3.1-8B,down_proj,10,0,144967
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,10,0,22462
RTX3090,meta-llama/Llama-3.1-8B,lm_head,10,0,1226809
RTX3090,meta-llama/Llama-3.1-8B,embedding,11,0,8133
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,11,0,22277
RTX3090,meta-llama/Llama-3.1-8B,q_proj,11,0,46508
RTX3090,meta-llama/Llama-3.1-8B,k_proj,11,0,21886
RTX3090,meta-llama/Llama-3.1-8B,v_proj,11,0,21630
RTX3090,meta-llama/Llama-3.1-8B,rope,11,0,30140
RTX3090,meta-llama/Llama-3.1-8B,attn,11,0,6582
